id,título,año,género,director,duración,calificación,país
6027,Pulp Fiction,1968,Animación,Christopher Nolan,135,5.4,USA
6028,Pulp Fiction,1958,Comedia,Christopher Nolan,145,3.2,France
6029,Avengers: Endgame,1998,Crimen,Steven Spielberg,133,2.4,Japan
6030,Gladiator,1985,Crimen,Martin Scorsese,91,5.6,Australia
6031,Avengers: Endgame,1950,Romance,Peter Jackson,174,2.3,Australia
6032,Titanic,2016,Musical,James Cameron,151,8.3,Japan
6033,The Godfather,1953,Musical,Damien Chazelle,133,7.4,Germany
6034,Inception,1987,Animación,Ridley Scott,162,9.2,Australia
6035,Gladiator,2018,Drama,James Cameron,140,8.2,USA
6036,Gladiator,1964,Ciencia Ficción,David Fincher,109,4.3,South Korea
6037,The Lord of the Rings,2010,Animación,Quentin Tarantino,168,8.3,USA
6038,Schindler's List,2002,Drama,Steven Spielberg,161,6.4,Spain
6039,Titanic,2009,Comedia,Peter Jackson,163,4.3,South Korea
6040,The Matrix,2002,Romance,Ridley Scott,144,7.2,Australia
6041,The Shawshank Redemption,1958,Historia,James Cameron,157,2.9,Italy
6042,Forrest Gump,1974,Acción,Ridley Scott,172,2.2,Canada
6043,The Matrix,2002,Musical,Hayao Miyazaki,83,8.9,Spain
6044,Interstellar,1959,Romance,Steven Spielberg,94,7.7,USA
6045,Jurassic Park,1978,Drama,David Fincher,96,5.8,Germany
6046,Fight Club,1980,Animación,Peter Jackson,108,4.3,Germany
6047,Parasite,2011,Historia,Steven Spielberg,157,7.0,Australia
6048,The Matrix,1994,Historia,Wachowski Sisters,101,6.9,Italy
6049,Titanic,1972,Crimen,Francis Ford Coppola,122,5.8,USA
6050,La La Land,2003,Crimen,Bong Joon-ho,167,4.0,Spain
6051,La La Land,1966,Comedia,Martin Scorsese,112,6.9,Spain
6052,The Dark Knight,1969,Romance,Francis Ford Coppola,90,4.8,Japan
6053,The Lion King,1983,Ciencia Ficción,Damien Chazelle,157,4.6,USA
6054,The Godfather,1966,Thriller,David Fincher,118,6.7,Canada
6055,Forrest Gump,1955,Ciencia Ficción,James Cameron,140,8.7,France
6056,Gladiator,2019,Ciencia Ficción,Martin Scorsese,123,2.5,Japan
6057,The Lion King,1962,Animación,Ridley Scott,80,2.1,UK
6058,Interstellar,2011,Romance,Martin Scorsese,80,4.6,Italy
6059,Gladiator,1976,Ciencia Ficción,David Fincher,126,4.6,South Korea
6060,Star Wars,1974,Drama,James Cameron,84,8.2,France
6061,Star Wars,2010,Musical,Quentin Tarantino,83,8.7,Italy
6062,Parasite,1951,Historia,Steven Spielberg,142,2.6,South Korea
6063,Gladiator,2002,Ciencia Ficción,Francis Ford Coppola,143,4.9,Canada
6064,Star Wars,2004,Historia,Damien Chazelle,173,3.7,South Korea
6065,Inception,2019,Musical,Martin Scorsese,173,3.9,USA
6066,Inception,1995,Acción,George Lucas,144,7.7,USA
6067,Spirited Away,1958,Crimen,Wachowski Sisters,139,6.3,UK
6068,Schindler's List,1955,Musical,Martin Scorsese,133,4.1,Japan
6069,La La Land,1953,Ciencia Ficción,Martin Scorsese,147,9.3,USA
6070,Schindler's List,2016,Crimen,Quentin Tarantino,102,6.1,Australia
6071,Gladiator,2017,Comedia,Damien Chazelle,101,8.2,France
6072,Titanic,2022,Animación,David Fincher,89,3.3,UK
6073,Schindler's List,1951,Crimen,George Lucas,131,8.4,Japan
6074,Fight Club,1995,Musical,James Cameron,83,5.7,Italy
6075,Spirited Away,2023,Thriller,Hayao Miyazaki,90,1.6,France
6076,The Lord of the Rings,2017,Animación,David Fincher,150,9.0,UK
6077,Schindler's List,2013,Ciencia Ficción,Peter Jackson,88,1.7,Italy
6078,Spirited Away,1974,Drama,Quentin Tarantino,132,4.2,USA
6079,Fight Club,2015,Ciencia Ficción,Quentin Tarantino,98,6.5,UK
6080,Schindler's List,1976,Musical,Wachowski Sisters,165,9.2,France
6081,Interstellar,2008,Drama,Ridley Scott,80,3.2,Spain
6082,Schindler's List,1959,Ciencia Ficción,Christopher Nolan,83,2.8,Japan
6083,Forrest Gump,1980,Animación,Hayao Miyazaki,136,6.6,Italy
6084,Parasite,2003,Animación,Christopher Nolan,91,6.7,Germany
6085,The Lion King,1959,Comedia,Bong Joon-ho,102,5.9,Canada
6086,Titanic,1982,Musical,David Fincher,99,8.5,USA
6087,Parasite,1981,Thriller,Peter Jackson,135,4.3,South Korea
6088,The Godfather,1982,Historia,Martin Scorsese,94,1.3,Spain
6089,Spirited Away,2021,Ciencia Ficción,Peter Jackson,113,8.6,UK
6090,The Godfather,1951,Historia,Ridley Scott,134,8.5,Canada
6091,Avengers: Endgame,1991,Drama,Steven Spielberg,112,6.0,South Korea
6092,Spirited Away,2011,Animación,Hayao Miyazaki,155,5.5,UK
6093,Avengers: Endgame,2003,Acción,Ridley Scott,92,3.0,USA
6094,Fight Club,1961,Romance,Steven Spielberg,118,3.4,South Korea
6095,Interstellar,1951,Thriller,Bong Joon-ho,128,9.1,Germany
6096,Spirited Away,1965,Historia,Christopher Nolan,96,9.5,Italy
6097,Interstellar,1997,Historia,Ridley Scott,110,7.8,Canada
6098,Inception,1978,Historia,Wachowski Sisters,145,7.2,Japan
6099,Parasite,1963,Drama,Christopher Nolan,159,6.8,Italy
6100,The Lion King,1969,Drama,Christopher Nolan,131,6.1,Japan
6101,Parasite,1996,Drama,Damien Chazelle,139,6.8,Japan
6102,The Godfather,2002,Ciencia Ficción,Christopher Nolan,172,5.7,USA
6103,Pulp Fiction,1987,Musical,Peter Jackson,176,4.6,South Korea
6104,Fight Club,2017,Drama,James Cameron,85,6.1,Canada
6105,Titanic,1983,Comedia,David Fincher,104,5.8,France
6106,The Matrix,2008,Musical,David Fincher,93,9.8,Canada
6107,The Shawshank Redemption,2007,Romance,Ridley Scott,142,3.5,Italy
6108,The Dark Knight,1995,Thriller,Martin Scorsese,97,5.6,USA
6109,Spirited Away,1976,Ciencia Ficción,George Lucas,146,2.2,UK
6110,The Godfather,1956,Animación,James Cameron,136,4.9,Canada
6111,The Godfather,1967,Musical,Damien Chazelle,163,9.3,South Korea
6112,The Godfather,2012,Romance,Peter Jackson,169,8.5,South Korea
6113,The Lord of the Rings,1988,Comedia,Francis Ford Coppola,102,6.6,UK
6114,Gladiator,2001,Romance,Christopher Nolan,107,2.1,South Korea
6115,La La Land,2016,Animación,Peter Jackson,178,1.8,Italy
6116,Inception,2004,Ciencia Ficción,Steven Spielberg,102,4.4,Italy
6117,Fight Club,2004,Romance,Martin Scorsese,135,3.6,Canada
6118,The Godfather,1972,Musical,Martin Scorsese,157,2.0,Japan
6119,Inception,2016,Comedia,David Fincher,112,5.9,Canada
6120,Parasite,2007,Animación,Peter Jackson,171,4.2,Germany
6121,Inception,2005,Romance,Peter Jackson,101,5.9,Japan
6122,Schindler's List,1976,Historia,Wachowski Sisters,82,4.0,France
6123,Fight Club,2000,Comedia,Ridley Scott,128,8.6,France
6124,The Shawshank Redemption,2003,Ciencia Ficción,Francis Ford Coppola,87,3.5,Germany
6125,Spirited Away,1953,Romance,Wachowski Sisters,112,9.5,Japan
6126,Avengers: Endgame,1961,Acción,Peter Jackson,129,2.0,Germany
6127,The Lord of the Rings,1971,Ciencia Ficción,Christopher Nolan,150,3.6,Japan
6128,Fight Club,1976,Thriller,Damien Chazelle,105,6.6,USA
6129,The Matrix,2004,Animación,Martin Scorsese,80,9.7,South Korea
6130,Titanic,1967,Thriller,Quentin Tarantino,86,8.2,South Korea
6131,Interstellar,1971,Crimen,Steven Spielberg,115,1.4,France
6132,Titanic,1987,Crimen,Bong Joon-ho,119,9.6,Canada
6133,Forrest Gump,1997,Ciencia Ficción,Damien Chazelle,89,1.0,UK
6134,The Dark Knight,2010,Romance,Bong Joon-ho,145,4.0,Italy
6135,Jurassic Park,2003,Musical,Francis Ford Coppola,154,2.8,Japan
6136,The Shawshank Redemption,1958,Romance,Christopher Nolan,136,3.2,Japan
6137,The Shawshank Redemption,1960,Acción,George Lucas,113,3.1,Australia
6138,Titanic,1966,Animación,Quentin Tarantino,93,2.2,UK
6139,Inception,1968,Comedia,Francis Ford Coppola,137,4.1,Australia
6140,Pulp Fiction,1986,Historia,Hayao Miyazaki,123,4.7,Australia
6141,Interstellar,1990,Comedia,Damien Chazelle,125,2.6,Italy
6142,Pulp Fiction,1968,Historia,Damien Chazelle,159,2.6,Germany
6143,The Shawshank Redemption,1985,Thriller,Quentin Tarantino,133,8.4,UK
6144,La La Land,1990,Historia,David Fincher,150,5.2,France
6145,Avengers: Endgame,2006,Drama,Martin Scorsese,143,6.2,Spain
6146,The Lion King,1954,Animación,Martin Scorsese,149,2.2,UK
6147,Fight Club,1971,Thriller,Bong Joon-ho,172,4.1,UK
6148,The Lord of the Rings,2017,Ciencia Ficción,Peter Jackson,153,3.1,UK
6149,The Dark Knight,1988,Musical,Steven Spielberg,166,7.9,South Korea
6150,Parasite,1978,Historia,Hayao Miyazaki,91,5.9,Australia
6151,The Dark Knight,1987,Thriller,Quentin Tarantino,177,4.6,Spain
6152,The Dark Knight,1997,Drama,George Lucas,83,4.8,Italy
6153,Gladiator,1963,Romance,Ridley Scott,89,7.2,Spain
6154,Gladiator,1989,Animación,James Cameron,83,1.5,Spain
6155,Gladiator,1991,Ciencia Ficción,Ridley Scott,122,7.8,Italy
6156,Fight Club,1976,Ciencia Ficción,Bong Joon-ho,173,2.7,USA
6157,Pulp Fiction,1955,Acción,Bong Joon-ho,141,7.4,South Korea
6158,Jurassic Park,1964,Historia,Francis Ford Coppola,112,4.4,Canada
6159,Forrest Gump,2015,Thriller,David Fincher,176,7.1,South Korea
6160,The Shawshank Redemption,1958,Animación,Quentin Tarantino,173,8.7,Italy
6161,The Lord of the Rings,2012,Crimen,Peter Jackson,99,2.9,Italy
6162,Parasite,1986,Crimen,Wachowski Sisters,123,2.2,France
6163,The Dark Knight,1987,Ciencia Ficción,Martin Scorsese,84,2.9,Canada
6164,La La Land,2008,Acción,David Fincher,162,4.9,USA
6165,Titanic,1978,Historia,Ridley Scott,98,5.1,France
6166,Jurassic Park,1979,Thriller,Ridley Scott,149,5.2,Italy
6167,Avengers: Endgame,1958,Ciencia Ficción,Bong Joon-ho,87,6.2,France
6168,Jurassic Park,1971,Drama,Steven Spielberg,169,8.1,Australia
6169,Interstellar,2001,Thriller,Damien Chazelle,133,7.5,Spain
6170,Titanic,1977,Animación,Damien Chazelle,178,2.3,Germany
6171,Jurassic Park,1986,Crimen,Bong Joon-ho,156,9.8,Italy
6172,The Matrix,2016,Ciencia Ficción,Christopher Nolan,130,9.7,UK
6173,Parasite,1982,Ciencia Ficción,Quentin Tarantino,99,2.5,Japan
6174,Parasite,1974,Musical,David Fincher,101,6.7,UK
6175,Fight Club,1979,Musical,Bong Joon-ho,171,4.0,USA
6176,Pulp Fiction,1957,Ciencia Ficción,Wachowski Sisters,164,8.3,France
6177,The Shawshank Redemption,2011,Animación,Hayao Miyazaki,94,1.4,UK
6178,Star Wars,2014,Comedia,Peter Jackson,175,8.1,Japan
6179,Inception,1963,Historia,Hayao Miyazaki,148,8.2,UK
6180,Gladiator,1977,Drama,Francis Ford Coppola,98,2.9,France
6181,Parasite,2008,Musical,Martin Scorsese,102,5.9,France
6182,Star Wars,1998,Historia,Steven Spielberg,141,4.6,France
6183,The Godfather,1966,Thriller,Damien Chazelle,145,6.3,Australia
6184,Pulp Fiction,1957,Musical,Steven Spielberg,123,3.6,UK
6185,The Lord of the Rings,1991,Historia,Martin Scorsese,133,7.2,Canada
6186,Gladiator,1967,Acción,Peter Jackson,130,1.1,UK
6187,Parasite,1988,Crimen,Hayao Miyazaki,94,4.4,Italy
6188,The Godfather,1959,Animación,Hayao Miyazaki,158,6.2,Germany
6189,Parasite,1973,Animación,Martin Scorsese,107,6.2,Germany
6190,Pulp Fiction,2018,Thriller,George Lucas,126,3.9,Australia
6191,Schindler's List,1988,Historia,Martin Scorsese,130,9.5,Australia
6192,Star Wars,1997,Drama,Martin Scorsese,170,6.2,France
6193,The Lion King,1952,Thriller,Christopher Nolan,94,2.2,Japan
6194,Inception,1959,Ciencia Ficción,Wachowski Sisters,128,7.9,France
6195,Fight Club,1972,Acción,James Cameron,113,5.2,Germany
6196,The Matrix,1979,Drama,Christopher Nolan,95,7.7,USA
6197,The Matrix,2018,Thriller,Steven Spielberg,116,9.6,Italy
6198,Interstellar,2019,Drama,Ridley Scott,109,1.1,Germany
6199,Avengers: Endgame,1967,Romance,Wachowski Sisters,100,9.3,USA
6200,The Shawshank Redemption,1990,Romance,Quentin Tarantino,99,9.7,Australia
6201,La La Land,2006,Thriller,James Cameron,95,6.6,Japan
6202,The Lord of the Rings,1964,Drama,Peter Jackson,179,7.8,Spain
6203,Interstellar,1982,Thriller,Steven Spielberg,145,6.2,UK
6204,The Matrix,1985,Crimen,Steven Spielberg,176,1.6,Australia
6205,Spirited Away,2019,Romance,James Cameron,106,6.8,Germany
6206,Gladiator,1959,Comedia,Ridley Scott,82,1.2,UK
6207,Interstellar,1969,Historia,Christopher Nolan,80,7.1,Japan
6208,Titanic,1979,Drama,Peter Jackson,141,5.5,France
6209,The Lord of the Rings,2003,Musical,Ridley Scott,179,6.4,USA
6210,Star Wars,1957,Comedia,Martin Scorsese,95,4.7,Italy
6211,Pulp Fiction,1971,Crimen,Wachowski Sisters,117,6.0,USA
6212,Avengers: Endgame,1983,Comedia,Damien Chazelle,114,6.6,Germany
6213,The Dark Knight,1982,Historia,Damien Chazelle,174,8.6,Canada
6214,The Godfather,1989,Historia,Quentin Tarantino,104,3.7,Australia
6215,Star Wars,2005,Musical,Martin Scorsese,163,5.6,Spain
6216,Titanic,1953,Romance,Ridley Scott,135,4.3,Italy
6217,La La Land,1977,Historia,Bong Joon-ho,126,8.7,France
6218,Spirited Away,1990,Comedia,Christopher Nolan,80,5.0,Spain
6219,Schindler's List,1982,Ciencia Ficción,Quentin Tarantino,129,5.5,France
6220,The Shawshank Redemption,1963,Crimen,Martin Scorsese,152,1.1,South Korea
6221,Fight Club,1964,Historia,Wachowski Sisters,155,1.3,Germany
6222,Pulp Fiction,2019,Ciencia Ficción,Francis Ford Coppola,128,3.2,Japan
6223,Interstellar,2004,Animación,Quentin Tarantino,164,4.1,Germany
6224,Jurassic Park,1997,Historia,Wachowski Sisters,92,2.8,Australia
6225,Forrest Gump,1977,Drama,Wachowski Sisters,172,9.3,UK
6226,Parasite,1954,Acción,James Cameron,116,2.0,South Korea
6227,Forrest Gump,1960,Musical,Hayao Miyazaki,155,9.4,Australia
6228,La La Land,1951,Thriller,George Lucas,92,6.3,Germany
6229,Spirited Away,1969,Comedia,Ridley Scott,139,2.4,South Korea
6230,Avengers: Endgame,1981,Comedia,Peter Jackson,91,4.9,Australia
6231,Jurassic Park,2002,Crimen,Peter Jackson,157,7.0,Japan
6232,The Lord of the Rings,2022,Drama,George Lucas,124,2.3,Canada
6233,The Lion King,1982,Historia,Francis Ford Coppola,110,1.5,UK
6234,Avengers: Endgame,1991,Comedia,James Cameron,85,1.9,Australia
6235,The Matrix,2003,Musical,Christopher Nolan,149,2.6,France
6236,Avengers: Endgame,1960,Musical,Bong Joon-ho,140,7.9,UK
6237,The Dark Knight,1951,Crimen,Bong Joon-ho,142,1.6,Canada
6238,Pulp Fiction,1972,Animación,George Lucas,87,6.1,Canada
6239,Interstellar,1996,Comedia,Wachowski Sisters,176,9.8,USA
6240,The Shawshank Redemption,2009,Animación,George Lucas,161,2.4,France
6241,The Lord of the Rings,2008,Crimen,Quentin Tarantino,154,5.5,UK
6242,The Lord of the Rings,1961,Thriller,Quentin Tarantino,173,2.8,Japan
6243,Spirited Away,2010,Acción,Christopher Nolan,108,1.4,Spain
6244,Spirited Away,2021,Musical,Martin Scorsese,157,2.8,Japan
6245,Fight Club,2013,Animación,Bong Joon-ho,157,3.2,France
6246,Parasite,1986,Animación,David Fincher,132,8.5,France
6247,Gladiator,1992,Drama,Martin Scorsese,99,9.8,South Korea
6248,Fight Club,1982,Crimen,Damien Chazelle,131,1.0,Japan
6249,Interstellar,2010,Musical,Martin Scorsese,141,7.7,South Korea
6250,Interstellar,1968,Acción,Peter Jackson,174,1.4,USA
6251,The Matrix,2015,Musical,Martin Scorsese,129,3.2,USA
6252,Forrest Gump,1985,Animación,Ridley Scott,149,6.3,Canada
6253,Forrest Gump,1962,Acción,Francis Ford Coppola,137,3.9,South Korea
6254,Inception,1989,Animación,Ridley Scott,159,9.2,Italy
6255,Spirited Away,2009,Animación,George Lucas,177,2.9,Australia
6256,Gladiator,1961,Musical,Damien Chazelle,152,1.0,UK
6257,Fight Club,2003,Comedia,Quentin Tarantino,147,4.8,Spain
6258,La La Land,1951,Thriller,Quentin Tarantino,134,1.9,France
6259,Titanic,1995,Ciencia Ficción,Martin Scorsese,102,9.8,Canada
6260,Fight Club,1968,Thriller,Martin Scorsese,116,6.6,France
6261,Avengers: Endgame,1982,Acción,Francis Ford Coppola,162,4.2,Australia
6262,The Shawshank Redemption,2013,Romance,Damien Chazelle,90,8.5,Italy
6263,Pulp Fiction,1965,Musical,Francis Ford Coppola,102,2.3,Australia
6264,La La Land,1979,Animación,Ridley Scott,144,1.6,Australia
6265,The Lion King,1976,Romance,George Lucas,174,6.9,Australia
6266,Parasite,1984,Crimen,Bong Joon-ho,108,2.2,South Korea
6267,Jurassic Park,1997,Animación,Hayao Miyazaki,142,3.0,UK
6268,Titanic,1979,Ciencia Ficción,Martin Scorsese,90,8.0,Japan
6269,The Matrix,1988,Ciencia Ficción,Peter Jackson,106,1.2,UK
6270,Parasite,1982,Historia,Francis Ford Coppola,128,7.4,Germany
6271,Titanic,1981,Musical,Francis Ford Coppola,154,7.5,Canada
6272,The Godfather,2010,Drama,Hayao Miyazaki,162,3.0,Australia
6273,Jurassic Park,1990,Drama,Christopher Nolan,171,5.5,UK
6274,Forrest Gump,1987,Drama,David Fincher,84,4.7,Spain
6275,Spirited Away,1957,Romance,Ridley Scott,144,8.1,Germany
6276,Schindler's List,1960,Drama,Wachowski Sisters,87,7.1,UK
6277,Fight Club,2008,Romance,Peter Jackson,155,4.2,Japan
6278,Pulp Fiction,1991,Crimen,Peter Jackson,106,2.3,France
6279,The Dark Knight,1968,Animación,Damien Chazelle,165,9.6,South Korea
6280,Titanic,1973,Romance,Quentin Tarantino,156,2.6,Canada
6281,The Shawshank Redemption,1958,Musical,James Cameron,149,7.5,Italy
6282,Parasite,1969,Comedia,Hayao Miyazaki,81,4.3,UK
6283,Inception,1962,Acción,Christopher Nolan,154,1.6,South Korea
6284,Fight Club,1988,Historia,Christopher Nolan,123,8.2,Germany
6285,La La Land,2017,Thriller,Damien Chazelle,133,1.0,USA
6286,La La Land,2009,Ciencia Ficción,Christopher Nolan,104,1.7,Canada
6287,The Dark Knight,2021,Ciencia Ficción,Hayao Miyazaki,116,7.5,Germany
6288,Gladiator,2019,Historia,Francis Ford Coppola,151,8.1,UK
6289,Inception,2013,Historia,Steven Spielberg,87,1.2,South Korea
6290,Spirited Away,2014,Ciencia Ficción,James Cameron,128,1.8,Canada
6291,Titanic,1998,Thriller,Francis Ford Coppola,173,5.4,Japan
6292,Spirited Away,2009,Historia,Hayao Miyazaki,172,9.9,Canada
6293,Schindler's List,2022,Comedia,Christopher Nolan,101,3.4,France
6294,Interstellar,1956,Comedia,James Cameron,171,1.7,Germany
6295,La La Land,2022,Musical,James Cameron,174,9.5,UK
6296,Star Wars,1958,Historia,Quentin Tarantino,145,5.4,USA
6297,The Lord of the Rings,1950,Historia,Bong Joon-ho,148,6.8,UK
6298,Fight Club,2022,Historia,Hayao Miyazaki,87,7.7,Australia
6299,Star Wars,2004,Historia,Hayao Miyazaki,132,5.0,Spain
6300,The Lord of the Rings,2017,Musical,George Lucas,177,2.1,Canada
6301,Parasite,1951,Thriller,George Lucas,179,5.5,Japan
6302,Parasite,1997,Thriller,James Cameron,89,3.3,USA
6303,Titanic,1995,Crimen,Peter Jackson,108,9.8,Australia
6304,The Lion King,2016,Romance,Damien Chazelle,157,2.4,South Korea
6305,Forrest Gump,2005,Animación,Quentin Tarantino,128,4.2,Germany
6306,La La Land,2013,Crimen,Steven Spielberg,108,1.8,Canada
6307,The Lion King,1983,Ciencia Ficción,Peter Jackson,148,2.1,Italy
6308,The Shawshank Redemption,1973,Comedia,James Cameron,84,4.0,Japan
6309,Parasite,1953,Crimen,Hayao Miyazaki,149,8.7,Japan
6310,Interstellar,1987,Comedia,Quentin Tarantino,169,8.9,UK
6311,La La Land,1962,Thriller,David Fincher,84,1.2,South Korea
6312,The Dark Knight,1986,Musical,Christopher Nolan,113,6.0,UK
6313,Schindler's List,1978,Romance,Hayao Miyazaki,97,6.2,South Korea
6314,Spirited Away,2019,Crimen,Francis Ford Coppola,97,6.5,Australia
6315,Gladiator,1978,Ciencia Ficción,Ridley Scott,168,8.4,USA
6316,The Matrix,1974,Animación,Damien Chazelle,98,4.1,Italy
6317,Titanic,2013,Ciencia Ficción,Peter Jackson,156,9.4,USA
6318,Star Wars,1994,Acción,David Fincher,84,1.4,Spain
6319,Inception,1973,Romance,Peter Jackson,152,7.0,Japan
6320,The Lord of the Rings,2011,Animación,Peter Jackson,139,5.6,Japan
6321,Interstellar,1955,Historia,Bong Joon-ho,117,6.1,Japan
6322,The Godfather,1965,Ciencia Ficción,George Lucas,102,7.6,USA
6323,The Lion King,2020,Drama,George Lucas,145,3.7,Japan
6324,Jurassic Park,1982,Musical,Bong Joon-ho,162,9.8,USA
6325,Gladiator,1972,Historia,Hayao Miyazaki,85,4.4,USA
6326,Forrest Gump,2019,Historia,Bong Joon-ho,179,9.6,South Korea
6327,Titanic,1995,Romance,Ridley Scott,86,7.4,Italy
6328,Jurassic Park,1967,Historia,Steven Spielberg,96,4.7,Japan
6329,Spirited Away,2005,Comedia,Christopher Nolan,101,1.4,Italy
6330,Titanic,1972,Comedia,David Fincher,100,2.2,Japan
6331,The Godfather,1968,Romance,David Fincher,154,7.1,Canada
6332,The Lion King,2003,Ciencia Ficción,Francis Ford Coppola,153,8.4,France
6333,The Matrix,1990,Crimen,Damien Chazelle,173,1.9,Japan
6334,The Lion King,1982,Musical,Hayao Miyazaki,132,5.5,France
6335,Inception,2023,Thriller,Francis Ford Coppola,110,3.1,France
6336,Titanic,1976,Musical,Damien Chazelle,81,9.8,UK
6337,Avengers: Endgame,1992,Comedia,Damien Chazelle,106,6.9,Spain
6338,Schindler's List,2014,Comedia,Damien Chazelle,80,6.9,Germany
6339,Parasite,1955,Thriller,George Lucas,107,3.1,France
6340,Schindler's List,1966,Animación,Ridley Scott,129,7.8,Canada
6341,Gladiator,1998,Historia,Hayao Miyazaki,114,3.7,Canada
6342,The Shawshank Redemption,1991,Acción,George Lucas,178,6.3,Japan
6343,Schindler's List,1965,Musical,Wachowski Sisters,115,8.0,USA
6344,Spirited Away,1975,Drama,James Cameron,159,6.8,UK
6345,Interstellar,1982,Thriller,Christopher Nolan,157,5.7,Germany
6346,Spirited Away,1983,Musical,Ridley Scott,134,5.2,Spain
6347,Fight Club,1975,Historia,Hayao Miyazaki,108,3.4,Italy
6348,The Shawshank Redemption,1973,Thriller,Wachowski Sisters,112,8.3,Spain
6349,The Matrix,2021,Thriller,Wachowski Sisters,100,1.4,Japan
6350,The Matrix,2022,Thriller,Steven Spielberg,117,8.1,Japan
6351,Gladiator,2001,Romance,Ridley Scott,137,2.3,Italy
6352,La La Land,1970,Thriller,Martin Scorsese,91,5.0,Canada
6353,The Godfather,1986,Romance,James Cameron,142,5.7,South Korea
6354,The Godfather,1999,Thriller,Francis Ford Coppola,176,6.9,Japan
6355,Pulp Fiction,2019,Musical,Bong Joon-ho,88,6.2,South Korea
6356,The Lion King,1959,Romance,Quentin Tarantino,101,1.3,France
6357,Avengers: Endgame,1978,Animación,Steven Spielberg,145,8.8,Germany
6358,Avengers: Endgame,1956,Historia,Wachowski Sisters,134,1.0,USA
6359,Inception,2015,Historia,Peter Jackson,106,9.8,Canada
6360,The Lord of the Rings,1999,Comedia,George Lucas,150,8.4,UK
6361,Fight Club,2005,Animación,Wachowski Sisters,175,6.2,Germany
6362,Forrest Gump,1952,Thriller,Wachowski Sisters,105,9.5,Italy
6363,The Dark Knight,1991,Animación,James Cameron,125,7.9,Canada
6364,The Lord of the Rings,2017,Ciencia Ficción,Francis Ford Coppola,161,9.6,South Korea
6365,Forrest Gump,1999,Comedia,Steven Spielberg,139,4.7,Australia
6366,Gladiator,2006,Animación,Hayao Miyazaki,110,6.8,Japan
6367,La La Land,2002,Drama,George Lucas,118,3.1,Japan
6368,Spirited Away,1988,Thriller,Wachowski Sisters,151,2.0,Canada
6369,Inception,2008,Historia,Steven Spielberg,80,1.8,Spain
6370,The Matrix,2009,Acción,Peter Jackson,84,3.5,Japan
6371,Fight Club,2017,Romance,George Lucas,165,3.9,Japan
6372,Jurassic Park,1996,Acción,Hayao Miyazaki,87,5.1,Japan
6373,Inception,2009,Animación,Quentin Tarantino,149,8.9,Japan
6374,The Matrix,1987,Historia,Bong Joon-ho,98,4.4,Australia
6375,Inception,1973,Drama,Quentin Tarantino,174,3.0,Italy
6376,Titanic,2021,Thriller,Francis Ford Coppola,149,3.4,Australia
6377,Spirited Away,2022,Ciencia Ficción,James Cameron,118,6.1,Italy
6378,La La Land,2020,Acción,David Fincher,132,5.0,Canada
6379,The Godfather,1997,Comedia,Ridley Scott,107,9.6,South Korea
6380,Jurassic Park,1958,Comedia,Ridley Scott,113,4.7,Germany
6381,Spirited Away,1970,Drama,David Fincher,138,9.4,USA
6382,Schindler's List,2019,Romance,Quentin Tarantino,127,9.1,Italy
6383,Avengers: Endgame,1978,Thriller,Francis Ford Coppola,173,4.3,UK
6384,The Lion King,1988,Crimen,Peter Jackson,119,9.4,UK
6385,The Dark Knight,2010,Drama,Damien Chazelle,147,2.0,South Korea
6386,Jurassic Park,2004,Romance,Wachowski Sisters,109,7.9,Canada
6387,Pulp Fiction,2006,Musical,Hayao Miyazaki,130,5.1,Spain
6388,Gladiator,2018,Musical,George Lucas,162,8.0,Spain
6389,La La Land,2008,Historia,Bong Joon-ho,122,6.6,Australia
6390,Fight Club,1993,Thriller,Martin Scorsese,85,9.5,South Korea
6391,The Dark Knight,1968,Ciencia Ficción,Quentin Tarantino,140,4.2,France
6392,The Lord of the Rings,2002,Animación,Ridley Scott,152,1.8,Japan
6393,Titanic,1987,Drama,Damien Chazelle,171,4.2,Italy
6394,Forrest Gump,1989,Drama,Quentin Tarantino,135,5.4,Japan
6395,Interstellar,1974,Musical,Damien Chazelle,162,8.6,UK
6396,The Shawshank Redemption,1968,Comedia,Bong Joon-ho,153,7.7,Spain
6397,Parasite,1983,Historia,Quentin Tarantino,125,8.5,Italy
6398,The Shawshank Redemption,1999,Romance,David Fincher,146,5.3,Canada
6399,Parasite,2017,Comedia,Martin Scorsese,143,4.3,Canada
6400,Avengers: Endgame,1952,Historia,James Cameron,115,6.6,Australia
6401,Interstellar,2003,Romance,Damien Chazelle,128,1.1,France
6402,Titanic,1953,Thriller,Peter Jackson,119,4.3,France
6403,Spirited Away,2023,Historia,George Lucas,144,4.3,Australia
6404,The Dark Knight,2014,Musical,Wachowski Sisters,82,5.6,France
6405,The Matrix,2006,Crimen,Hayao Miyazaki,148,7.6,Germany
6406,Parasite,2005,Animación,Martin Scorsese,136,3.1,Japan
6407,Inception,1953,Crimen,Hayao Miyazaki,162,2.3,Canada
6408,The Godfather,1957,Animación,Quentin Tarantino,90,3.2,Germany
6409,Gladiator,2005,Thriller,Wachowski Sisters,130,3.6,South Korea
6410,Star Wars,1987,Musical,Ridley Scott,161,3.4,Germany
6411,La La Land,2020,Animación,Damien Chazelle,160,9.1,Australia
6412,Gladiator,1986,Romance,Ridley Scott,106,6.4,Germany
